business_name,address,city,postal_code,website,phone,owner_name,owner_confidence,owner_source,industry,category_standardized,employee_range_estimate,revenue_range_estimate,sde_range_estimate,age_range_estimate,acquisition_fit_score,important_notes
FARM FRESH MEATS,1140 Heritage Rd,Burlington,L7L 4X9,http://farmfreshmeats.com/,(866) 460-2345,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.6M-$2.6M,$268K-$363K,10-20 years,78,Category: Wholesale Distribution
Marcor Automotive,3325 North Service Rd,Burlington,L7N 3G2,http://www.marcor.ca/,(800) 263-8621,Tony Page,medium,News articles (CEO),wholesale,Wholesale Distribution,10-25,$1.5M-$2.6M,$261K-$353K,10-20 years,78,Category: Wholesale Distribution
Marks Supply Inc. (Burlington),3424 Landmark Rd,Burlington,L7M 1S8,https://www.markssupply.ca/Burlington?utm_source=gbp&utm_medium=organic&utm_campaign=burlington,(800) 387-7125,Robin Todd,high,Company information (CEO/President),wholesale,Wholesale Distribution,10-25,$1.4M-$2.6M,$252K-$341K,10-20 years,78,Category: Wholesale Distribution
Nature's Artifacts,5044 South Service Rd,Burlington,L7L 5Y7,https://www.natures-artifacts.com/,(888) 895-3017,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.4M-$2.6M,$252K-$341K,10-20 years,78,Category: Wholesale Distribution
Roseland Produce,1827 Ironstone Drive,Burlington,L7L 5T8,http://www.roselandproduce.ca/,(905) 332-4400,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.3M-$2.5M,$242K-$328K,10-20 years,78,Category: Wholesale Distribution
Esslinger Foods,5035 North Service Rd,Burlington,L7L 5V2,https://esslingerfoods.com/,(800) 661-7687,William Esslinger,high,"LinkedIn (President, Family-owned)",wholesale,Wholesale Distribution,10-25,$1.3M-$2.5M,$242K-$328K,10-20 years,78,Category: Wholesale Distribution
Wesupply,3485 Harvester Rd,Burlington,L7N 3T3,http://wesupply.ca/,(647) 477-2296,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.2M-$2.5M,$238K-$322K,10-20 years,78,Category: Wholesale Distribution
AMSaxum Inc.,4145 North Service Rd,Burlington,L7L 6A3,http://amsaxum.com/,(888) 772-2809,Not found,none,Owner not found - manual research required,professional_services,General Business Services,8-22,$1.3M-$2.3M,$236K-$319K,10-20 years,70,Standard SMB lead
Pink Leaf Wholesale,1550 Yorkton Court,Burlington,L7P 5B7,https://www.pinkleafwholesale.com/,(289) 208-4927,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.2M-$2.5M,$233K-$315K,10-20 years,78,Category: Wholesale Distribution
Peanut Embassy,1163 King Rd,Burlington,L7T 0B4,http://www.peanutembassy.com/,(905) 308-4984,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.2M-$2.5M,$233K-$315K,10-20 years,78,Category: Wholesale Distribution
Think Ingredients Inc.,3325 Harvester Rd,Burlington,L7N 3N2,http://thinkingredients.com/,(416) 616-1940,Andy Sinkovits,high,Company website (President),wholesale,Wholesale Distribution,10-25,$1.2M-$2.5M,$233K-$315K,10-20 years,78,Category: Wholesale Distribution
MISSION PRODUCE INC,1060 Howard Rd,Burlington,L7P 0T7,,(905) 637-8581,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.2M-$2.4M,$229K-$310K,10-20 years,53,Category: Wholesale Distribution | Missing website – verify operational status manually
Homestead Foods,4445 Harvester Rd,Burlington,L7L 4X1,,(905) 681-8755,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.2M-$2.4M,$229K-$310K,10-20 years,53,Category: Wholesale Distribution | Missing website – verify operational status manually
Burlington Metal Supplies Ltd,1254 Plains Rd East,Burlington,L7S 1W6,,(905) 632-1583,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.1M-$2.4M,$220K-$298K,10-20 years,53,Category: Wholesale Distribution | Missing website – verify operational status manually
Panāyā Consulting,1411 Tobyn Drive,Burlington,L7M 4V7,http://www.panayaconsulting.com/,(778) 953-1443,Not found,none,Owner not found - manual research required,professional_services,Professional Services,8-22,$1.2M-$2.3M,$219K-$296K,10-20 years,65,Category: Professional Services
Agro Wholesale Produce Ltd,1032 Howard Rd,Burlington,L7P 0T7,,(905) 632-8891,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$1.1M-$2.3M,$216K-$293K,10-20 years,53,Category: Wholesale Distribution | Missing website – verify operational status manually
Business Growth Results,2289 Fairview St,Burlington,L7M3E4,https://www.businessgrowthresults.com/,(416) 456-8733,Not found,none,Owner not found - manual research required,professional_services,General Business Services,8-22,$1.1M-$2.2M,$215K-$290K,10-20 years,70,Standard SMB lead
Golden Lasso,5063 North Service Rd,Burlington,L7L 5H6,http://golden-lasso.com/,(905) 631-5275,Not found,none,Owner not found - manual research required,professional_services,General Business Services,8-22,$1.1M-$2.2M,$215K-$290K,10-20 years,70,Standard SMB lead
Horizons Wholesaler,5045 Mainway,Burlington,L7L 5Z1,,(727) 239-6366,Not found,none,Owner not found - manual research required,wholesale,Wholesale Distribution,10-25,$998K-$2.3M,$212K-$287K,10-20 years,53,Category: Wholesale Distribution | Missing website – verify operational status manually
Toronto Consulting Services,5063 North Service Rd,Burlington,L7L 5H6,http://www.torontoconsultingservices.com/,(647) 394-9172,Not found,none,Owner not found - manual research required,professional_services,Professional Services,8-22,$1.1M-$2.2M,$210K-$285K,10-20 years,65,Category: Professional Services
PlanPivot - Business Coaching,3228 South Service Rd,Burlington,L7M 3H8,http://planpivot.ca/,(647) 732-9916,Not found,none,Owner not found - manual research required,professional_services,General Business Services,8-22,$1.1M-$2.2M,$210K-$285K,10-20 years,70,Standard SMB lead
LBM Consulting,1860 Appleby Line,Burlington,L7L 7H7,http://lbmconsulting.ca/,,Not found,none,Owner not found - manual research required,professional_services,Professional Services,8-22,$1.1M-$2.2M,$210K-$285K,10-20 years,50,Category: Professional Services | Missing phone – lower data confidence
Froggo Business Services,1237 North Shore Blvd East,Burlington,L7S 2H8,https://www.froggo.ca/,(905) 399-7982,Not found,none,Owner not found - manual research required,professional_services,Professional Services,8-22,$1.1M-$2.2M,$210K-$285K,10-20 years,65,Category: Professional Services
Battlefield Equipment Rentals,4401 Harvester Rd,Burlington,L7L 4X1,https://www.battlefieldequipment.ca/,(905) 333-1440,Colin Goheen,high,Corporate website (President),equipment_rental,Equipment Rental & Industrial Services,7-16,$1.2M-$2.0M,$204K-$276K,10-20 years,95,Category: Equipment Rental & Industrial Services | Revenue in ideal SMB band | High acquisition fit – priority follow-up
GREAT NORTH EQUIPMENT RENTAL,3084 Harrison Court,Burlington,L7R 3X4,https://www.gnorth.ca/,(855) 466-7848,Not found,none,Owner not found - manual research required,equipment_rental,Equipment Rental & Industrial Services,7-16,$1.1M-$2.0M,$199K-$269K,10-20 years,95,Category: Equipment Rental & Industrial Services | Revenue in ideal SMB band | High acquisition fit – priority follow-up
Jobsite Industrial Rental Services,3385 Mainway,Burlington,L7M 1A6,https://www.jobsiteequipment.ca/,(905) 634-3030,Not found,none,Owner not found - manual research required,equipment_rental,Equipment Rental & Industrial Services,7-16,$1.1M-$2.0M,$199K-$269K,10-20 years,95,Category: Equipment Rental & Industrial Services | Revenue in ideal SMB band | High acquisition fit – priority follow-up
Park Property Management,1275 Elgin St,Burlington,L7S 1E2,https://www.parkproperty.ca/apartments-for-rent/burlington,,Not found,none,Owner not found - manual research required,equipment_rental,Equipment Rental & Industrial Services,7-16,$1.1M-$2.0M,$199K-$269K,10-20 years,80,Category: Equipment Rental & Industrial Services | Revenue in ideal SMB band | Missing phone – lower data confidence | High acquisition fit – priority follow-up
Cooper Equipment Rentals,5315 North Service Rd,Burlington,L7L 6C1,http://cooperequipment.ca/,(905) 331-7111,Not found,none,Owner not found - manual research required,equipment_rental,Equipment Rental & Industrial Services,7-16,$1.1M-$2.0M,$199K-$269K,10-20 years,95,Category: Equipment Rental & Industrial Services | Revenue in ideal SMB band | High acquisition fit – priority follow-up
TranscendNext Quality Management Inc,4145 North Service Rd,Burlington,L7L 4X6,,(888) 517-3335,Not found,none,Owner not found - manual research required,professional_services,General Business Services,8-22,$949K-$2.1M,$195K-$264K,10-20 years,45,Missing website – verify operational status manually
Sunbelt Rentals,891 Zelco Drive,Burlington,L7L 4Y3,https://www.sunbeltrentals.com/location/ca/on/burlington/equipment-tool-rentals/7026/?utm_source=gmb&utm_medium=organic&utm_campaign=pc7026&y_source=1_MTc2MDU5MzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(905) 634-5129,Not found,none,Owner not found - manual research required,equipment_rental,Equipment Rental & Industrial Services,7-16,$984K-$1.9M,$185K-$250K,10-20 years,85,Category: Equipment Rental & Industrial Services | High acquisition fit – priority follow-up
Phoenix Equipment Corp.,3455 Landmark Rd,Burlington,L7M 1T4,http://phoenixequip.ca/,,Not found,none,Owner not found - manual research required,equipment_rental,Equipment Rental & Industrial Services,7-16,$904K-$1.9M,$177K-$240K,10-20 years,70,Category: Equipment Rental & Industrial Services | Missing phone – lower data confidence
PrintBuy,15 - 1253 Silvan Forest Drive,Burlington,L7M 0B7,http://www.printbuy.ca/,(647) 558-9538,Not found,none,Owner not found - manual research required,printing,Commercial Printing,7-16,$827K-$1.4M,$145K-$196K,10-20 years,80,Category: Commercial Printing | High acquisition fit – priority follow-up
Oprintz,764 Guelph Line,Burlington,L7R 3N5,https://oprintz.com/,(647) 995-9563,Not found,none,Owner not found - manual research required,printing,Commercial Printing,7-16,$692K-$1.4M,$132K-$178K,10-20 years,80,Category: Commercial Printing | High acquisition fit – priority follow-up
